web_scraper_order,web_scraper_start_url,pagination,Price,item_type,adress,image_link
"1772022891-44","https://sn.coinafrique.com/categorie/chaussures-homme","","15 000CFA","Sandales orthopédique","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5762297_uploaded_image1_1770399973.jpg"
"1772022891-45","https://sn.coinafrique.com/categorie/chaussures-homme","","Prix sur demande","Chaussures homme","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_5760772_uploaded_image1_1770330772.jpg"
"1772022891-46","https://sn.coinafrique.com/categorie/chaussures-homme","","Prix sur demande","Chaussures homme","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_5760749_uploaded_image1_1770329899.jpg"
"1772022891-47","https://sn.coinafrique.com/categorie/chaussures-homme","","30 000CFA","Chaussures homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_5760609_uploaded_image1_1770326218.jpg"
"1772022891-48","https://sn.coinafrique.com/categorie/chaussures-homme","","40 000CFA","Jordan 4 authentiques originales","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5760593_uploaded_image1_1770325855.jpg"
"1772022891-49","https://sn.coinafrique.com/categorie/chaussures-homme","","13 000CFA","Chaussures  homme","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_5760425_uploaded_image1_1770321277.jpg"
"1772022891-50","https://sn.coinafrique.com/categorie/chaussures-homme","","30 000CFA","Sneakers navy flex","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5759795_uploaded_image1_1770295782.jpg"
"1772022891-51","https://sn.coinafrique.com/categorie/chaussures-homme","","Prix sur demande","Baskets Adidas Samba","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5758571_uploaded_image1_1770232010.jpg"
"1772022891-52","https://sn.coinafrique.com/categorie/chaussures-homme","","30 000CFA","Baskets Adidas Samba","Dakar, Sénégal","https://images.coinafrique.com/thumb_5758567_uploaded_image1_1770231739.jpg"
"1772022891-53","https://sn.coinafrique.com/categorie/chaussures-homme","","18 000CFA","Baskets Adidas/ Adistar répétitor","Dakar, Sénégal","https://images.coinafrique.com/thumb_5758312_uploaded_image1_1770221944.jpg"
"1772022891-54","https://sn.coinafrique.com/categorie/chaussures-homme","","13 000CFA","Chaussures hommes","Diamalaye 1, Dakar, Sénégal","https://images.coinafrique.com/thumb_5756505_uploaded_image1_1770135001.jpg"
"1772022891-55","https://sn.coinafrique.com/categorie/chaussures-homme","","20 000CFA","Chaussures Hermès","Dakar, Sénégal","https://images.coinafrique.com/thumb_5751239_uploaded_image1_1769862397.jpg"
"1772022891-56","https://sn.coinafrique.com/categorie/chaussures-homme","","12 000CFA","Baskets Air Force One","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_5748304_uploaded_image1_1769701708.jpg"
"1772022891-57","https://sn.coinafrique.com/categorie/chaussures-homme","","35 000CFA","Chaussures Timberland","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5748200_uploaded_image1_1769697271.jpg"
"1772022891-58","https://sn.coinafrique.com/categorie/chaussures-homme","","20 000CFA","Baskets Hugo Boss","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5748195_uploaded_image1_1769697106.jpg"
"1772022891-59","https://sn.coinafrique.com/categorie/chaussures-homme","","18 000CFA","Chaussures  homme","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5747868_uploaded_image1_1769685507.jpg"
"1772022891-60","https://sn.coinafrique.com/categorie/chaussures-homme","","Prix sur demande","Chaussures orthopédique","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5747230_uploaded_image1_1769646220.jpg"
"1772022891-61","https://sn.coinafrique.com/categorie/chaussures-homme","","22 000CFA","Chaussures  homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_5746871_uploaded_image1_1769620042.jpg"
"1772022891-62","https://sn.coinafrique.com/categorie/chaussures-homme","","17 000CFA","Vans Timberland","Dakar, Sénégal","https://images.coinafrique.com/thumb_5746866_uploaded_image1_1769619782.jpg"
"1772022891-63","https://sn.coinafrique.com/categorie/chaussures-homme","","14 900CFA","Chaussures TN","Dakar, Sénégal","https://images.coinafrique.com/thumb_5745917_uploaded_image1_1769593923.jpg"
"1772022891-64","https://sn.coinafrique.com/categorie/chaussures-homme","","14 900CFA","Chaussures Campus","Dakar, Sénégal","https://images.coinafrique.com/thumb_5745914_uploaded_image1_1769593852.jpg"
"1772022891-65","https://sn.coinafrique.com/categorie/chaussures-homme","","14 900CFA","Chaussures tn","Dakar, Sénégal","https://images.coinafrique.com/thumb_5745876_uploaded_image1_1769593110.jpg"
"1772022891-66","https://sn.coinafrique.com/categorie/chaussures-homme","","14 900CFA","Chaussures Campus","Dakar, Sénégal","https://images.coinafrique.com/thumb_5745868_uploaded_image1_1769592986.jpg"
"1772022891-67","https://sn.coinafrique.com/categorie/chaussures-homme","","35 000CFA","Timberlands Louis Vouitton","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_5740532_uploaded_image1_1769344299.jpg"
"1772022891-68","https://sn.coinafrique.com/categorie/chaussures-homme","","30 000CFA","Baskets New Balance 1000","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_5740531_uploaded_image1_1769344168.jpg"
"1772022891-69","https://sn.coinafrique.com/categorie/chaussures-homme","","35 000CFA","Timberlands Louis Vouitton","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_5740527_uploaded_image1_1769343954.jpg"
"1772022891-70","https://sn.coinafrique.com/categorie/chaussures-homme","","13 000CFA","Chaussures Sebago","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5737758_uploaded_image1_1769194673.jpg"
"1772022891-71","https://sn.coinafrique.com/categorie/chaussures-homme","","32 000CFA","Chaussures  homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_5729550_uploaded_image1_1768854964.jpg"
"1772022891-72","https://sn.coinafrique.com/categorie/chaussures-homme","","10 000CFA","Baskets Hermes Chypre","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5724452_uploaded_image1_1768570104.jpg"
"1772022891-73","https://sn.coinafrique.com/categorie/chaussures-homme","","8 000CFA","Crocs homme","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5720276_uploaded_image1_1768382635.jpg"
"1772022891-74","https://sn.coinafrique.com/categorie/chaussures-homme","","Prix sur demande","Baskets Jordan One Low","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5719291_uploaded_image1_1768334077.jpg"
"1772022891-75","https://sn.coinafrique.com/categorie/chaussures-homme","","25 000CFA","Chaussures New Balance 1000","Dakar, Sénégal","https://images.coinafrique.com/thumb_5719053_uploaded_image1_1768321893.jpg"
"1772022891-76","https://sn.coinafrique.com/categorie/chaussures-homme","","25 000CFA","Chaussures New Balance 1000","Dakar, Sénégal","https://images.coinafrique.com/thumb_5719051_uploaded_image1_1768321795.jpg"
"1772022891-77","https://sn.coinafrique.com/categorie/chaussures-homme","","13 000CFA","Baskets Sebago","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5719030_uploaded_image1_1768320367.jpg"
"1772022891-78","https://sn.coinafrique.com/categorie/chaussures-homme","","25 000CFA","Baskets New Balance 1000","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5719027_uploaded_image1_1768320204.jpg"
"1772022891-79","https://sn.coinafrique.com/categorie/chaussures-homme","","25 000CFA","Baskets New Balance 530","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5719023_uploaded_image1_1768320082.jpg"
"1772022891-80","https://sn.coinafrique.com/categorie/chaussures-homme","","20 000CFA","Baskets Adidas Samba","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5719018_uploaded_image1_1768319934.jpg"
"1772022891-81","https://sn.coinafrique.com/categorie/chaussures-homme","","10 000CFA","Chaussures orthopédiques","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_5716881_uploaded_image1_1768228848.jpg"
"1772022891-82","https://sn.coinafrique.com/categorie/chaussures-homme","","15 000CFA","Baskets Nike TN","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5716742_uploaded_image1_1768223689.jpg"
"1772022891-83","https://sn.coinafrique.com/categorie/chaussures-homme","","12 000CFA","Mocassins homme","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5716397_uploaded_image1_1768212595.jpg"
"1772022891-84","https://sn.coinafrique.com/categorie/chaussures-homme","","12 000CFA","Chaussures  homme","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5716365_uploaded_image1_1768211528.jpg"
